2026-01-17 15:28:50 [LogHelper] Upload all log and delete
2026-01-17 15:31:36 [MusicDownloader] 🎧 Đang tải file 14/618: 5%
2026-01-17 15:31:37 [MusicDownloader] 🎧 Đang tải file 14/618: 10%
2026-01-17 15:31:37 [MusicDownloader] 🎧 Đang tải file 14/618: 15%
2026-01-17 15:31:37 [MusicDownloader] 🎧 Đang tải file 14/618: 20%
2026-01-17 15:31:38 [MusicDownloader] 🎧 Đang tải file 14/618: 25%
2026-01-17 15:31:38 [MusicDownloader] 🎧 Đang tải file 14/618: 30%
2026-01-17 15:31:38 [MusicDownloader] 🎧 Đang tải file 14/618: 35%
2026-01-17 15:31:38 [MusicDownloader] 🎧 Đang tải file 14/618: 40%
2026-01-17 15:31:38 [MusicDownloader] 🎧 Đang tải file 14/618: 45%
2026-01-17 15:31:39 [MusicDownloader] 🎧 Đang tải file 14/618: 50%
2026-01-17 15:31:39 [MusicDownloader] 🎧 Đang tải file 14/618: 55%
2026-01-17 15:31:39 [MusicDownloader] 🎧 Đang tải file 14/618: 60%
2026-01-17 15:31:39 [MusicDownloader] 🎧 Đang tải file 14/618: 65%
2026-01-17 15:31:39 [MusicDownloader] 🎧 Đang tải file 14/618: 70%
2026-01-17 15:31:40 [MusicDownloader] 🎧 Đang tải file 14/618: 75%
2026-01-17 15:31:40 [MusicDownloader] 🎧 Đang tải file 14/618: 80%
2026-01-17 15:31:40 [MusicDownloader] 🎧 Đang tải file 14/618: 85%
2026-01-17 15:31:40 [MusicDownloader] 🎧 Đang tải file 14/618: 90%
2026-01-17 15:31:40 [MusicDownloader] 🎧 Đang tải file 14/618: 95%
2026-01-17 15:31:41 [MusicDownloader] 🎧 Đang tải file 14/618: 100%
2026-01-17 15:31:41 [MusicDownloader] ⬇️ Đã tải xong: Bau_Troi_Moi.mp3
2026-01-17 15:31:41 [MusicDownloader] 🎧 Đang tải file 15/618: 0%
2026-01-17 15:31:41 [MusicDownloader] 🎧 Đang tải file 15/618: 5%
2026-01-17 15:31:41 [MusicDownloader] 🎧 Đang tải file 15/618: 10%
2026-01-17 15:31:42 [MusicDownloader] 🎧 Đang tải file 15/618: 15%
2026-01-17 15:31:42 [MusicDownloader] 🎧 Đang tải file 15/618: 20%
2026-01-17 15:31:42 [MusicDownloader] 🎧 Đang tải file 15/618: 25%
2026-01-17 15:31:42 [MusicDownloader] 🎧 Đang tải file 15/618: 30%
2026-01-17 15:31:43 [MusicDownloader] 🎧 Đang tải file 15/618: 35%
2026-01-17 15:31:43 [MusicDownloader] 🎧 Đang tải file 15/618: 40%
2026-01-17 15:31:43 [MusicDownloader] 🎧 Đang tải file 15/618: 45%
2026-01-17 15:31:43 [MusicDownloader] 🎧 Đang tải file 15/618: 50%
2026-01-17 15:31:44 [MusicDownloader] 🎧 Đang tải file 15/618: 55%
2026-01-17 15:31:44 [MusicDownloader] 🎧 Đang tải file 15/618: 60%
2026-01-17 15:31:45 [MusicDownloader] 🎧 Đang tải file 15/618: 65%
2026-01-17 15:31:45 [MusicDownloader] 🎧 Đang tải file 15/618: 70%
2026-01-17 15:31:46 [MusicDownloader] 🎧 Đang tải file 15/618: 75%
2026-01-17 15:31:46 [MusicDownloader] 🎧 Đang tải file 15/618: 80%
